Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget
The Big Hit,27066941,27066941,,13000000
Birthday Girl,4919896,8130727,,13000000
The Big Lebowski,17498804,46189568,,15000000
Big Momma's House,117559438,173559438,,33000000
Black Hawk Down,108638745,173638745,970318,95000000
Eye of the Beholder,16500786,18260865,,15000000
The Big Bounce,6471394,6626115,,50000000
Big Trouble,7262288,8488871,,45000000
Billy Elliot,21995263,109280263,,5000000
Bicentennial Man,58220776,87420776,,90000000
Birth,5005899,14603001,,20000000
Becoming Jane,18663911,37304637,8061456,16500000
Bridget Jones: The Edge Of Reason,40203020,263894551,,50000000
Bridget Jones's Diary,71500556,281527158,,25000000
The Bank Job,30060660,63060660,17254299,20000000
Blade,70141876,131237688,,45000000
The Blair Witch Project,140539099,248300000,,600000
Blast from the Past,26613620,26613620,,35000000
Blade 2,81676888,154338601,,54000000
Blade: Trinity,52397389,132397389,,65000000
Blades of Glory,118594548,145594548,49219041,61000000
The Blind Side,255959475,301759475,86139819,35000000
Blood Work,26199517,26199517,,50000000
Zwartboek,4398392,4398392,,22000000
Black Christmas,16235738,16235738,28729107,9000000
Black Snake Moan,9396870,9396870,12540785,15000000
Black Water Transit,0,0,,35000000
Blindness,3073392,14542658,,25000000
"Legally Blonde 2: Red, White & Blonde",90639088,125339088,,25000000
Legally Blonde,96493426,141743426,,18000000
Blood and Wine,1083350,1083350,,26000000
Blow,52990775,83282296,,30000000
Ballistic: Ecks vs. Sever,14294842,14294842,,70000000
Blue Crush,40118420,51327420,,30000000
Bamboozled,2185266,2373937,,10000000
A Beautiful Mind,170708996,316708996,,78000000
Big Momma's House 2,70165972,137047376,21234176,40000000
"Story of Bonnie and Clyde, The",0,0,,20000000
The Boondock Saints,30471,250000,7468574,7000000
Bandidas,0,10496317,7921142,35000000
Bandits,41523271,71523271,,75000000
Bobby,11242801,20597806,12345494,14000000
The Book of Eli,94835059,146452390,36862324,80000000
Boogeyman,46752382,67192859,,20000000
Bolt,114053579,313953579,82600642,150000000
The Other Boleyn Girl,26814957,72944278,8245298,40000000
The Bone Collector,66488090,151463090,,48000000
Bones,7316658,8378853,,10000000
Bon Voyage,2353728,8361736,,20000000
Boogie Nights,26410771,43111725,,15000000
Borat,128505958,261572744,62661576,18000000
The Bourne Identity,121468960,213300000,,60000000
The Bourne Supremacy,176087450,288587450,,85000000
The Bourne Ultimatum,227471070,442161562,123314592,130000000
The Borrowers,22619589,54045832,,29000000
My Boss's Daughter,15549702,15549702,,14000000
Bounce,36779296,53399300,,35000000
Bowling for Columbine,21576018,58576018,,3000000
Boys Don't Cry,11540607,20741000,,2000000
The Boy in the Striped Pyjamas,9030581,39830581,9647546,12500000
Bulletproof Monk,23010607,23010607,,52000000
Heartbreakers,40334024,57753825,,38000000
Bride & Prejudice,6601079,22064531,,7000000
Beyond Borders,4426297,11427090,,60000000
Bride Wars,58715510,115150424,29943338,30000000
Breakfast of Champions,178287,178287,,12000000
Brigham City,852206,852206,,1000000
Brick,2075743,3918941,5013655,450000
Bringing Out The Dead,16640210,16640210,,32000000
Breakdown,50159144,50159144,,36000000
Brooklyn's Finest,27163593,28319627,9300674,25000000
Brokeback Mountain,83043761,180343761,31338042,13900000
Breakin' All the Rules,12232382,12512317,,9000000
The Break Up,118806699,202944203,52707367,52000000
An Alan Smithee Film: Burn Hollywood Burn,45779,45779,,10000000
Barney's Version,0,0,,30000000
Brooklyn Rules,458232,458232,,8000000
Boiler Room,16963963,28773637,,9000000
The Brothers Solomon,900926,900926,,10000000
The Brothers,27457409,27958191,,6000000
Brown Sugar,27362712,28315272,,8000000
Bright Star,4444637,9469105,,8500000
Brother,450594,450594,,12000000
In Bruges,7800825,30782621,3467377,15000000
The Brown Bunny,366301,630427,,10000000
Barbershop 2: Back in Business,65070412,65842412,,18000000
Barbershop,75781642,77081642,,12000000
Best in Show,18621249,20695413,,6000000
Bad Santa,60060328,60063017,,18000000
Inglourious Basterds,120831050,320389438,58414604,70000000
Blue Streak,68208190,117448157,,36000000
The Butterfly Effect,57924679,96046844,,13000000
"O Brother, Where Art Thou",45506619,65976782,,26000000
Batman & Robin,107325195,238317814,,125000000
Boat Trip,8586376,14933713,,15000000
Bubba Ho-Tep,1239183,1239183,,1000000
Bubble,145382,145382,,1600000
Bubble Boy,5002310,5002310,,13000000
Buffalo '66,2380606,2380606,,1500000
Buffalo Soldiers,353743,353743,,15000000
Bulworth,26528684,29203383,,30000000
W.,25534493,28575778,7871296,25100000
Bowfinger,66458769,98699769,,55000000
Bewitched,63313159,131413159,,80000000
Barnyard: The Original Party Animals,72779000,116618084,65043181,51000000
Beyond the Sea,6144806,7061637,,24000000
Cabin Fever,21158188,30553394,,1500000
CachÃ,3647381,17147381,,8000000
Cadillac Records,8138000,8138000,10049741,12000000
Can't Hardly Wait,25358996,25358996,,10000000
Capote,28750530,46309352,17031573,7000000
Sukkar banat,1060591,14253760,,1600000
Disney's A Christmas Carol,137855863,323743744,,190000000
The Rage: Carrie 2,17760244,17760244,,21000000
Cars,244082982,461923762,246114559,70000000
Cast Away,233632142,427230516,,85000000
Catch Me if You Can,164606800,351106800,,52000000
The Cat in the Hat,101018283,133818283,,109000000
Cats Don't Dance,3588602,3588602,,32000000
Catwoman,40202379,82102379,,100000000
Cecil B. Demented,1276984,1953882,,10000000
The Country Bears,16988996,16988996,,20000000
Center Stage,17200925,17200925,,18000000
The Corpse Bride,53359111,117359111,,30000000
Critical Care,220175,220175,,12000000
Connie & Carla,8047525,8047525,,20000000
Collateral Damage,40048332,78353508,,85000000
Crocodile Dundee in Los Angeles,25590119,39393111,,25000000
Celebrity,5078660,6200000,,12000000
The Cell,61280963,61280963,,35000000
Cellular,32003620,45261739,,45000000
City of Ember,7871693,11817059,6086988,38000000
Charlie and the Chocolate Factory,206459076,474459076,,150000000
Catch a Fire,4299773,5699773,,14000000
Charlie's Angels: Full Throttle,100814328,227200000,,120000000
Charlie's Angels,125305545,263200000,,90000000
Chasing Amy,12006514,15155095,,250000
Chicago,170687518,307687518,,30000000
Chicken Little,135386665,314432738,142108745,60000000
Chicken Run,106793915,227793915,,42000000
Cheaper by the Dozen,138614544,189714544,,40000000
Cheaper by the Dozen 2,82571173,135015330,26537982,60000000
Cheri,2715657,2715657,,23000000
Chill Factor,11263966,11263966,,34000000
Bride of Chucky,32404188,50692188,,25000000
Seed of Chucky,17016190,24716190,,29000000
Children of Men,35552383,69450202,25345271,76000000
Chloe,3075255,9675172,,13000000
Love in the Time of Cholera,4617608,31077418,,45000000
Chocolat,71309760,152500343,,25000000
The Children of Huang Shi,1031872,5527507,,20000000
Les Choristes,3629758,83529758,,5500000
Chairman of the Board,306715,306715,,7000000
Chuck&Buck,1055671,1157672,,250000
The Chumscrubber,49526,49526,,6800000
Charlotte's Web,82985708,143985708,83571732,82500000
Cinderella Man,61649911,108539911,,88000000
A Cinderella Story,51438175,70067909,,19000000
City of Angels,78750909,198750909,,55000000
A Civil Action,56709981,56709981,,60000000
CJ7,206678,47300771,,20000000
The Cookout,11540112,11540112,,16000000
The Claim,622023,622023,,13000000
The Santa Clause 2,139225854,172825854,,65000000
Cold Mountain,95632614,161632614,,80000000
Clean,138711,138711,,10000
Click,137355633,237555633,81244755,82500000
Code Name: The Cleaner,8135024,8135024,4492233,20000000
Welcome to Collinwood,378650,378650,,12000000
Closer,33987757,115987757,,35000000
Clerks II,24148068,25894473,26411041,5000000
Maid in Manhattan,93932896,154832896,,55000000
It's Complicated,112735375,224614744,29195673,75000000
The Company,2281585,3396508,,15000000
Constantine,75976178,230884728,,75000000
The Contender,17804273,17804273,,9000000
Die Fâ°lscher,5488570,19416495,,6250000
Control,871577,5645350,,6400000
Centurion,119621,119621,,15000000
Coach Carter,67264877,76669806,,45000000
Confessions of a Dangerous Mind,16007718,33013805,,29000000
Coco avant Chanel,6113834,48846765,,23000000
Code 46,197148,197148,,7500000
Agent Cody Banks 2: Destination London,23514247,28703083,,26000000
Agent Cody Banks,47545060,58240458,,25000000
Collateral,100170152,217670152,,60000000
College,4694491,5629618,,6000000
Company Man,146028,146028,,12000000
Come Early Morning,119452,119452,,6000000
Con Air,101117573,224117573,,80000000
Confidence,12212417,12212417,,15000000
Conspiracy Theory,76118990,137118990,,80000000
Contact,100920329,165900000,,90000000
The Cooler,8291572,10464788,,4000000
Copying Beethoven,355968,355968,,11000000
Corky Romano,23978402,23978402,,11000000
Coraline,75286229,124062750,46101073,60000000
Confessions of a Teenage Drama Queen,29331068,33051296,,15000000
The Covenant,23364784,38164784,26360430,20000000
Cop Land,44906632,63706632,,15000000
Couples Retreat,109205660,172450423,34715888,60000000
Cradle Will Rock,2899970,2899970,,32000000
Crank,27838408,33824696,28776986,12000000
Crash,3357324,3357324,,10000000
The Crazies,39123589,43027734,8835872,20000000
Crazy in Alabama,1954202,1954202,,15000000
The Crew,13019253,13019253,,23000000
Cradle 2 the Grave,34657731,56434942,,25000000
Crocodile Hunter: Collision Course,28436931,33436931,,12500000
The In Crowd,5217498,5217498,,15000000
The Corruptor,15164492,15164492,,10000000
Man cheng jin dai huang jin jia,6566773,75566773,10581873,45000000
Crash,54557348,98387109,,6500000
Crossover,7009668,7009668,2177636,5600000
Crossroads,37188667,57000000,,12000000
The Count of Monte Cristo,54228104,54228104,,40000000
Cruel Intentions,38230075,75803716,,11000000
The Cry of the Owl,0,0,,11500000
Cry Wolf,10047674,15585495,,1000000
Crazy Heart,39462438,47163756,13929671,8500000
crazy/beautiful,16929123,19929123,,13000000
The Last Castle,18208078,20541668,,60000000
Clockstoppers,36985501,38788828,,26000000
Catch That Kid,16703799,16930762,,18000000
Cats & Dogs,93375151,200700000,,60000000
The City of Your Final Destination,493296,493296,,8300000
Cidade de Deus,7563397,28763397,,3300000
City of Ghosts,325491,325491,,17500000
City by the Sea,22433915,22433915,,40000000
The Cube,489220,489220,,250000
Coyote Ugly,60786269,115786269,,45000000
Curious George,58640119,70114174,47809786,50000000
Cursed,19294901,25114901,,35000000
Civil Brand,254293,254293,,500000
Cloudy with a Chance of Meatballs,124870275,139525862,42574228,100000000
Charlie Wilson's War,66661095,118661095,17517037,75000000
Cyrus,7426671,8514729,,7000000
Daddy Day Camp,13235267,18197398,5405521,76000000
Daddy Day Care,104148781,164285587,,60000000
The Black Dahlia,22672813,46672813,12350794,60000000
Diary of a Mad Black Woman,50406346,50425450,,5500000
Dance Flick,25662155,32092761,,25000000
"Dancer, Texas Pop. 81",574838,574838,,2300000
Daredevil,102543518,179179718,,80000000
Dark City,14435076,27257061,,27000000
His Dark Materials: The Golden Compass,70107728,372234864,41772382,205000000
Donnie Darko,1270522,4116307,,4500000
Dark Water,25473093,49473093,,60000000
Win a Date with Tad Hamilton!,16980098,16980098,,24000000
Date Movie,48548426,84548426,18840886,20000000
Date Night,98711404,152253432,19432795,55000000
Dawn of the Dead,58990765,102290765,,28000000
Daybreakers,30101577,48969954,11463099,20000000
Day of the Dead,0,0,,18000000
The Great Debaters,30226144,30226144,24133037,15000000
Double Jeopardy,116735231,177835231,,40000000
Der Baader Meinhof Komplex,476270,16498827,,19700000
Deep Blue Sea,73648228,165048228,,60000000
Drive Me Crazy,17843379,22591451,,8000000
Dave Chappelle's Block Party,11718595,12051924,18713941,3000000
Dancer in the Dark,4157491,45557491,,12500000
Diary of the Dead,952620,4726656,4653193,2750000
Dear John,80014842,112014842,19179552,25000000
Dear Wendy,23106,446438,,8000000
D.E.B.S.,96793,96793,,3500000
Deconstructing Harry,10686841,10686841,,20000000
Mr. Deeds,126293452,171269535,,50000000
The Deep End of the Ocean,13508635,13508635,,40000000
Deep Rising,11203026,11203026,,45000000
"Definitely, Maybe",32241649,55534224,12928344,7000000
Death at a Funeral,42739347,42739347,9750680,21000000
DÃjâ¡ Vu,64038616,181038616,40502497,80000000
Delgo,915840,915840,,40000000
Despicable Me,244885070,333572855,,69000000
Deuce Bigalow: European Gigolo,22400154,44400154,,22000000
Deuce Bigalow: Male Gigolo,65535067,92935067,,18000000
The Devil's Own,42885593,140900000,,90000000
Darkness Falls,32539681,32539681,,7000000
Defiance,28644813,42268745,13421577,50000000
A Dog of Flanders,2165637,2165637,,7000000
Dragonfly,30063805,30063805,,60000000
The Dead Girl,19875,19875,,3300000
The Lords of Dogtown,11273517,11354893,,25000000
Dick,6276869,6276869,,13000000
Live Free or Die Hard,134529403,383531464,100774964,110000000
Digimon: The Movie,9628751,16628751,,5000000
Dirty Work,10020081,10020081,,13000000
Banlieue 13,1200216,11208291,,15000000
Disaster Movie,14190901,34690901,9859088,20000000
District 9,115646235,206552113,30058184,30000000
Disturbing Behavior,17507368,17507368,,15000000
Le Scaphandre et le Papillon,5990075,19689095,2354497,14000000
Dark Blue,9237470,11933396,,15000000
Dreaming of Joseph Lees,7680,7680,,3250000
De-Lovely,13337299,18396382,,4000000
Madea's Family Reunion,63257940,63308879,26508859,10000000
Dead Man on Campus,15064948,15064948,,14000000
Drowning Mona,15427192,15427192,,16000000
Diamonds,81897,81897,,11900000
Doomsday,11008770,21621188,8666480,33000000
Donkey Punch,19367,19367,,750000
Dinosaur,137748063,356148063,,127500000
DOA: Dead or Alive,480314,2670860,1370874,30000000
Doogal,7578946,26942802,,20000000
Dogma,30651422,43948865,,10000000
Domestic Disturbance,45207112,45207112,,53000000
Domino,10169202,17759202,15573570,50000000
Donnie Brasco,41954997,55954997,,35000000
Doom,28212337,54612337,28563264,70000000
Doubt,33422556,50923043,12876746,20000000
Doug's 1st Movie,19421271,19421271,,5000000
Downfall,5501940,92101940,,13500000
The Deep End,8823109,8823109,,3000000
Deep Impact,140464664,349464664,,80000000
The Departed,133311000,290539042,140689412,90000000
Dracula 2000,33000377,33000377,,28000000
Death Race,36316032,72516819,24667330,65000000
Drag Me To Hell,42100625,85724728,13123388,30000000
"Crouching Tiger, Hidden Dragon",128067808,213200000,,15000000
Derailed,36020063,54962616,27718572,22000000
Doctor Dolittle 2,112950721,176101721,,72000000
Doctor Dolittle,144156605,294156605,,71500000
Dickie Roberts: Former Child Star,22734486,23734486,,17000000
Drillbit Taylor,32862104,49686263,12040874,40000000
Driving Lessons,239962,239962,,4700000
Driven,32616869,54616869,,72000000
Darkness,22163442,34409206,,10600000
I Dreamed of Africa,6543194,6543194,,34000000
Dreamcatcher,33685268,75685268,,68000000
Dreamgirls,103365956,154965956,53674555,75000000
Detroit Rock City,4217115,4217115,,16000000
Drop Dead Gorgeous,10571408,10571408,,10000000
Drumline,56398162,56398162,,20000000
The Legend of Drunken Master,11546543,11546543,,2000000
Dinner Rush,638227,1075504,,2000000
The Descent,26024456,57029609,22484444,7000000
DysFunkTional Family,2255000,2255000,,3000000
The Master of Disguise,40363530,40363530,,16000000
Desert Blue,99147,99147,,5000000
Disturbia,80209692,117573043,34508128,20000000
Double Take,29823162,29823162,,24000000
Death at a Funeral,8580428,34743644,,20000000
Deterrence,144583,371647,,800000
Dirty Pretty Things,8112414,13904766,,10000000
Dudley Do-Right,9818792,9818792,,22000000
Duets,4734235,4734235,,16000000
The Dukes of Hazzard,80270227,110570227,,53000000
Duma,870067,994790,,12000000
Dumb and Dumberer: When Harry Met Lloyd,26214846,26214846,,30000000
Dungeons & Dragons 2: The Elemental Might,0,909822,,15000000
Dungeons and Dragons,15185241,33771965,,35000000
Duplex,9652000,10070651,,40000000
"You, Me and Dupree",75802010,130402010,41651251,54000000
Devil's Advocate,61007424,153007424,,57000000
The Da Vinci Code,217536138,757236138,100178981,125000000
D-War,10977721,79915361,7614486,32000000
Deuces Wild,6044618,6044618,,10000000
Down to Earth,64172251,71172251,,30000000
Down to You,20035310,20035310,,9000000
I'm Not There,4017609,11498547,6017494,20000000
Easy A,21056221,22156221,,8000000
The Eclipse,133411,133411,,3000000
Edge of Darkness,43313890,78739628,12665512,60000000
EDtv,22508689,35319689,,60000000
An Education,12574914,14134502,1765115,7500000
East is East,4170647,4170647,,3000000
8 Heads in a Duffel Bag,3602884,4002884,,3000000
Eagle Eye,101440743,178066569,38374936,80000000
8MM,36443442,96398826,,40000000
Iris,5580479,15035827,,5500000
Election,14943582,14943582,,8500000
Elektra,24409722,56409722,,65000000
Elf,173398518,220443451,,32000000
Elizabeth,30082699,82150642,,25000000
Ella Enchanted,22913677,22913677,,35000000
Once Upon a Time in Mexico,56330657,98156459,,29000000
The Adventures of Elmo in Grouchland,11634458,11634458,,17000000
The Emperor's Club,14060950,16124074,,12500000
Empire,17504595,18495444,,3500000
La marche de l'empereur,77437223,129437223,,3400000
Employee of the Month,28444855,38117718,21177885,10000000
The Emperor's New Groove,89296573,169296573,,100000000
Enchanted,127706877,340384141,87698079,85000000
The End of the Affair,10660147,10660147,,23000000
End of Days,66889043,212026975,,100000000
End of the Spear,11748661,11748661,,10000000
Enemy at the Gates,51396781,96971293,,85000000
Enemy of the State,111549836,250649836,,85000000
Entrapment,87707396,211700000,,66000000
Enough,39177215,39177215,,38000000
Envy,13548322,14566246,,20000000
Epic Movie,39739367,86858578,16839362,20000000
Eragon,75030163,249488115,87700229,100000000
Erin Brockovich,125548685,258400000,,50000000
Elizabethtown,26850426,50719373,15854391,54000000
Eat Pray Love,78146373,81846373,,60000000
Eternal Sunshine of the Spotless Mind,34366518,47066518,,20000000
Eulogy,70527,70527,,10000000
Eureka,49388,76654,,2000000
Eurotrip,17718223,20718223,,25000000
Eve's Bayou,14843425,14843425,,5000000
Event Horizon,26673242,26673242,,60000000
Ever After: A Cinderella Story,65705772,65705772,,26000000
Evita,50047179,151947179,,55000000
Evolution,38311134,98341932,,80000000
An Everlasting Piece,75078,75078,,4000000
Fong juk,51957,51957,,4500000
Exit Wounds,51758599,79958599,,33000000
The Exorcism of Emily Rose,75072454,144216468,,18000000
Exorcist: The Beginning,41814863,43957541,,78000000
The Express,9793406,9808102,6580715,37500000
eXistenZ,2840417,2840417,,20700000
Extract,10823158,10849158,,7500000
Extreme Ops,4835968,12624471,,40000000
Eyes Wide Shut,55691208,86257553,,65000000
The Faculty,40283321,40283321,,15000000
Failure to Launch,88715192,128402901,41348843,50000000
Keeping the Faith,37036404,45336404,,29000000
Fame,22455510,77956957,4950732,18000000
The Family Stone,60062868,91762868,23961409,18000000
Lisa Picard is Famous,113433,113433,,1000000
Fantasia 2000 (Theatrical Release),9103630,9103630,,80000000
Far From Heaven,15901849,29027914,,13500000
Fascination,16670,83356,,5000000
Father's Day,28681080,35681080,,85000000
Facing the Giants,10178331,10178331,20091582,100000
Face/Off,112276146,241200000,,80000000
Final Destination 2,46896664,89626226,,26000000
Final Destination 3,54098051,112798051,18646884,25000000
The Final Destination,66477700,185777700,10148305,40000000
FearDotCom,13208023,13208023,,40000000
Fear and Loathing in Las Vegas,10680275,13711903,,18500000
Feast,56131,341808,3570398,3200000
The Fifth Element,63570862,263900000,,95000000
Femme Fatale,6592103,6592103,,35000000
Bring it On,68353550,90453550,,10000000
Fantastic Four,154696080,330579719,4702358,87500000
54,16757163,16757163,,13000000
2 Fast 2 Furious,127120058,236220058,,76000000
The Fast and the Furious,144512310,206512310,,38000000
Fool's Gold,70231041,109362966,20620930,72500000
Fahrenheit 9/11,119114517,222414517,,6000000
Capitalism: A Love Story,14363397,14678228,2987505,20000000
From Hell,31598308,31598308,,35000000
Fido,298110,419801,,8000000
Fight Club,37030102,100853753,,65000000
Final Fantasy: The Spirits Within,32131830,85131830,,137000000
Finding Forrester,51768623,80013623,,43000000
Freddy Got Fingered,14249005,14249005,,15000000
Firestorm,8123860,8123860,,19000000
Fish Tank,374675,374675,,3000000
Felicia's Journey,824295,1970268,,15000000
From Justin to Kelly,4922166,4922166,,12000000
Final Destination,53302314,112802314,,23000000
Flags of Our Fathers,33602376,61902376,45105366,53000000
Flawless,4485485,4485485,,27000000
Flammen og Citronen,148089,1635241,,9000000
Flicka,21000147,21893591,49974754,15000000
Flight of the Phoenix,21009180,34009180,,75000000
United 93,31567134,76366864,17832230,18000000
Flubber,92993801,177993801,,80000000
Flushed Away,64665672,177665672,71025931,149000000
Flyboys,13090630,14816379,23631077,60000000
Fly Me To the Moon,14543943,40098231,,25000000
Find Me Guilty,1173673,1788077,,13000000
The Family Man,75764085,124715863,,60000000
Friends with Money,13368437,15328368,7822762,6500000
Finding Nemo,339714978,867894287,,94000000
Finishing the Game,52850,52850,,500000
Foodfight!,0,0,,65000000
Formula 51,5204007,5204007,,27000000
The Fountain,10144010,15461638,8752844,35000000
Fantastic Four: Rise of the Silver Surfer,131921738,288215319,62277740,120000000
Farce of the Penguins,0,0,1619183,5000000
Flightplan,89706988,225706988,,55000000
Frailty,13110448,17423030,,11000000
The Forbidden Kingdom,52075270,129075270,23318686,55000000
Freedom Writers,36605602,43090741,20532539,21000000
Next Friday,57176582,59675307,,9500000
Freaky Friday,110222438,160822438,,26000000
Frequency,44983704,68079671,,31000000
Serenity,25514517,38514517,,39000000
The Forgotton,66711892,111311892,,50000000
Jason X,13121555,16951798,,14000000
Friday the 13th,65002019,91700771,9566980,17000000
Friday After Next,33253609,33526835,,10000000
Frida,25885000,56298474,,12000000
Friday Night Lights,61255921,61950770,,30000000
Frozen River,2503902,5281776,,1000000
The Princess and the Frog,104374107,263467382,68101150,105000000
Full Frontal,2512846,3438804,,2000000
Fireproof,33451479,33451479,31898934,500000
The Forsaken,6755271,6755271,,5000000
Frost/Nixon,18622031,28144586,6677601,29000000
Factory Girl,1661464,1661464,,7000000
Fateless,196857,196857,,12000000
The Full Monty,45950122,257938649,,3500000
Fun With Dick And Jane,110550000,202250000,29638269,140000000
Funny People,51855045,71880305,13721109,70000000
Fur,223202,2281089,,16800000
Furry Vengeance,17630465,21630465,4335991,35000000
Fever Pitch,42071069,50071069,,40000000
For Your Consideration,5549923,5549923,,12000000
The Game,48265581,48265581,,50000000
Gangs of New York,77730500,190400000,,97000000
Garfield,75367693,200802638,,50000000
Georgia Rule,18882880,20819601,19382312,20000000
Gattaca,12532777,12532777,,36000000
"Gone, Baby, Gone",20300218,34619699,11406490,19000000
"Goodbye, Lenin!",4063859,79316616,,6400000
Good Boy!,37667746,45312217,,17000000
Gods and Generals,12882934,12923936,,55000000
The Good German,1308696,1308696,,32000000
Gods and Monsters,6451628,6451628,,3500000
The Good Night,22441,22441,,15000000
The Good Thief,3517797,3517797,,30000000
George and the Dragon,0,0,,32000000
Gerry,254683,254683,,7000000
G-Force,119436770,287389685,44145849,82500000
Gridiron Gang,38432823,41480851,34066576,30000000
The Good Girl,14018296,15976468,,8000000
Ghost Ship,30113491,68349884,,20000000
Ghosts of Mississippi,13052741,13052741,,36000000
The Glass House,17951431,22861785,,22000000
Ghost Rider,115802596,237702596,103730683,120000000
Ghost Town,13252641,26612350,7574314,20000000
The Gift,12008642,44567606,,10000000
Gigli,6087542,7266209,,54000000
G.I.Jane,48169156,48169156,,50000000
G.I. Joe: The Rise of Cobra,150201498,302469019,69866155,175000000
"Girl, Interrupted",28871190,28871190,,24000000
Gladiator,187683805,457683805,,103000000
Glitter,4273372,4273372,,8500000
Gloria,4167493,4967493,,30000000
Good Luck Chuck,35017297,59183821,26234476,25000000
John Carpenter's Ghosts of Mars,8434601,8434601,,28000000
The Green Mile,136801374,286601374,,60000000
The Game of Their Lives,375474,375474,,20000000
"Gandhi, My Father",240425,1375194,,5000000
Good Night and Good Luck,31501218,54601218,20967273,7000000
The General's Daughter,102705852,149705852,,60000000
Gun Shy,1638202,1638202,,10000000
Go!,16875273,28383441,,6500000
Goal!,4283255,27610873,12616824,33000000
Godzilla 2000,10037390,10037390,,1000000
Godsend,14334645,16910708,,30000000
Godzilla,136314294,376000000,,125000000
Smiling Fish and Goat on Fire,277233,277233,,40000
Gone in 60 Seconds,101643008,232643008,,103300000
Good,27276,27276,,16000000
Good Will Hunting,138433435,225933435,,10000000
Gosford Park,41300105,41300105,,18000000
Gossip,5108820,12591270,,14000000
The Game Plan,90648202,147914546,50113315,22000000
Girl with a Pearl Earring,11634362,22106210,,12000000
Galaxy Quest,71423726,90523726,,45000000
Saving Grace,12178602,24325623,,4000000
Gracie,2956339,3036736,,9000000
The Great Raid,10166502,10597070,,60000000
The Grand,115879,115879,,3000000
The Constant Gardener,33579798,81079798,,25500000
Garden State,26782316,32381151,,2500000
Grease,305260,206005260,21249794,6000000
Green Zone,35053660,84788541,14424476,100000000
George Of The Jungle,105263257,174463257,,55000000
The Brothers Grimm,37899638,105299638,,80000000
The Girl Next Door,14589444,18589444,,25000000
How the Grinch Stole Christmas,260044825,345141403,,123000000
Grindhouse,25031037,50187789,31070911,53000000
Get Rich or Die Tryin',30981850,46437122,9906347,40000000
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,35069986,30000000
Groove,1115313,1167524,,500000
Grosse Point Blank,28084357,28084357,,15000000
The Grudge 2,39143839,68643839,8293678,20000000
The Grudge,110359362,187281115,,10000000
Grown Ups,161094625,250294625,,75000000
Ghost Dog: Way of the Samurai,3330230,6030230,,2000000
Guess Who,68915888,102115888,,35000000
Get Carter,14967182,19417182,,40000000
Get Over It,11560259,11560259,,10000000
Veronica Guerin,1569918,9438074,,17000000
The Guru,3051221,23788368,,11000000
A Guy Thing,15543862,17430594,,20000000
Ghost World,6217849,8764007,,5500000
Halloween 2,33392973,38512850,6646073,15000000
Hairspray,118823091,202823091,104104829,75000000
Half Baked,17394881,17394881,,8000000
Hamlet,4501094,7129670,,18000000
Hamlet,1577287,2288841,,2000000
Hannibal the Conqueror,0,0,,50000000
Hancock,227946274,624346274,89352567,150000000
Happily N'Ever After,15849032,38344430,16559473,47000000
The Happening,64506874,163403799,21432877,60000000
"Happy, Texas",2039192,2039192,,1700000
Hard Candy,1024640,1881243,,950000
Harsh Times,3337931,5963961,2638319,2000000
Harvard Man,56653,56653,,5500000
Harry Brown,1818681,6294140,,7300000
The House Bunny,48237389,70237389,15442818,25000000
The Devil's Rejects,17044981,20940428,,7000000
"House of 1,000 Corpses",12634962,16829545,,7000000
The House of the Dead,10199354,13767816,,7000000
Hidalgo,67286731,107336658,,78000000
Hide and Seek,51100486,123100486,,25000000
Hoodwinked,51386611,110011106,31171440,17500000
How Do You Know?,0,0,,90000000
Head of State,37788228,38283765,,35200000
Hedwig and the Angry Inch,3067312,3643900,,6000000
Pooh's Heffalump Movie,18098433,52858433,,20000000
He Got Game,21567853,21567853,,25000000
Heist,23483357,28483168,,35000000
Hellboy 2: The Golden Army,75986503,160388063,43689202,82500000
Hellboy,59623958,99823958,,60000000
Raising Helen,37485528,43340302,,50000000
A Home at the End of the World,1029017,1033810,,6500000
Jet Li's Hero,53652140,177352140,,17000000
Here on Earth,10494147,10845127,,15000000
House of Flying Daggers,11050094,92863945,,12000000
Head Over Heels,10397365,10397365,,14000000
The Haunting,91188905,180188905,,80000000
High Crimes,41543207,63781100,,42000000
High Fidelity,27277055,47881663,,20000000
Highlander: Endgame,12801190,12801190,,15000000
High Heels and Low Lifes,226792,226792,,10000000
High School Musical 3: Senior Year,90556401,251056401,59373004,11000000
The History Boys,2730296,13425589,,3700000
A History of Violence,31493782,59993782,38659936,32000000
Hitch,177784257,366784257,,55000000
Hitman,39687694,99965792,28077100,17500000
Harold & Kumar Escape from Guantanamo Bay,38108728,43231984,24609630,12000000
Harold & Kumar Go to White Castle,18225165,18225165,,9000000
Held Up,4714090,4714090,,8000000
The Hills Have Eyes II,20804166,37466538,30512461,15000000
The Hills Have Eyes,41778863,69623713,20576805,17000000
How to Lose Friends & Alienate People,2775593,12031443,,28000000
Half Past Dead,15567860,19233280,,25000000
Halloween: H2O,55041738,55041738,,17000000
Halloween: Resurrection,30259652,37659652,,15000000
Holy Man,12069719,12069719,,60000000
Milk,31841299,50164027,11075466,20000000
Hamlet 2,4886216,4898285,,9000000
