Title,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
How Do You Know?,17-Dec-10,,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,
Head of State,28-Mar-03,PG-13,95,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Chris Rock,30,5.1,8447
Hedwig and the Angry Inch,20-Jul-01,R,,Fine Line,Based on Musical/Opera,Musical,Contemporary Fiction,,92,7.6,14766
Pooh's Heffalump Movie,11-Feb-05,G,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,80,6.3,1605
He Got Game,1-May-98,R,134,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,80,6.8,14494
Heist,9-Nov-01,R,109,New Line,Original Screenplay,Action,Contemporary Fiction,David Mamet,66,3.2,77
Hellboy 2: The Golden Army,11-Jul-08,PG-13,,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,,7.3,61902
Hellboy,2-Apr-04,PG-13,122,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Guillermo Del Toro,81,6.8,67763
Raising Helen,28-May-04,PG-13,119,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Garry Marshall,22,5.7,10526
A Home at the End of the World,23-Jul-04,R,,Warner Independent,Based on Book/Short Story,Drama,Historical Fiction,,48,6.7,7180
Jet Li's Hero,27-Aug-04,PG-13,96,Miramax,Original Screenplay,Action,Historical Fiction,Yimou Zhang,,,
Here on Earth,24-Mar-00,PG-13,,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,18,4.6,4929
House of Flying Daggers,3-Dec-04,PG-13,,Sony Pictures Classics,Original Screenplay,Action,Historical Fiction,Yimou Zhang,,,
Head Over Heels,2-Feb-01,PG-13,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Mark Waters,9,4.8,6574
The Haunting,23-Jul-99,PG-13,114,Dreamworks SKG,Based on Book/Short Story,Horror,Contemporary Fiction,Jan De Bont,17,4.6,31808
High Crimes,5-Apr-02,PG-13,115,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Carl Franklin,31,6.1,14428
High Fidelity,31-Mar-00,R,114,Walt Disney Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Stephen Frears,92,7.6,69740
Highlander: Endgame,1-Sep-00,R,,Miramax/Dimension,Original Screenplay,Action,Fantasy,,,4.3,8421
High Heels and Low Lifes,26-Oct-01,R,,Walt Disney Pictures,,,,,20,6.1,2205
High School Musical 3: Senior Year,24-Oct-08,G,,Walt Disney Pictures,Based on TV,Musical,Contemporary Fiction,,66,3.7,18587
The History Boys,21-Nov-06,R,,Fox Searchlight,Based on Play,Comedy,Contemporary Fiction,,63,6.7,10293
A History of Violence,23-Sep-05,R,,New Line,Based on Comic/Graphic Novel,Drama,Contemporary Fiction,David Cronenberg,87,7.6,79738
Hitch,11-Feb-05,PG-13,113,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Andy Tennant,69,5.7,89
Hitman,21-Nov-07,R,93,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,14,6.8,520
Harold & Kumar Escape from Guantanamo Bay,25-Apr-08,R,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,54,6.7,42358
Harold & Kumar Go to White Castle,30-Jul-04,R,,New Line,Original Screenplay,Comedy,Contemporary Fiction,,74,7.2,56030
Held Up,12-May-00,PG-13,,Trimark,Original Screenplay,Comedy,Contemporary Fiction,,17,4.7,1840
The Hills Have Eyes II,23-Mar-07,R,88,20th Century Fox,Remake,Horror,Fantasy,,,5,17948
The Hills Have Eyes,10-Mar-06,R,,Fox Searchlight,Remake,Horror,Contemporary Fiction,Alexandre Aja,49,6.5,43747
How to Lose Friends & Alienate People,3-Oct-08,R,109,MGM,Based on Book/Short Story,Comedy,Contemporary Fiction,,36,6.7,25756
Half Past Dead,15-Nov-02,PG-13,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,2,4.1,6909
Halloween: H2O,5-Aug-98,R,85,Miramax,,Horror,Contemporary Fiction,Steve Miner,,,
Halloween: Resurrection,12-Jul-02,R,89,Miramax/Dimension,,Horror,Contemporary Fiction,Rick Rosenthal,,3.9,13181
Holy Man,9-Oct-98,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,12,4.7,9105
Milk,26-Nov-08,R,,Focus Features,Based on Real Life Events,Drama,Dramatization,Gus Van Sant,94,3.6,479
Hamlet 2,22-Aug-08,R,,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Andrew Fleming,64,6.4,9017
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,1-Feb-08,G,,Walt Disney Pictures,Based on Real Life Events,Concert/Performance,Factual,,71,,
Home on the Range,2-Apr-04,PG,94,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,,54,5.4,4772
Hannibal Rising,9-Feb-07,R,121,Weinstein Co.,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Peter Webber,15,6,28690
The Hangover,5-Jun-09,R,99,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,78,7.9,127634
Hanging Up,18-Feb-00,PG-13,95,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,12,4.3,6098
The Hoax,6-Apr-07,R,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Lasse Hallstrom,85,6.9,9171
Holes,18-Apr-03,PG,117,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Andrew Davis,77,7.1,19388
The Holiday,8-Dec-06,PG-13,131,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47,6.9,48215
Hollow Man,4-Aug-00,R,112,Sony Pictures,Original Screenplay,Horror,Science Fiction,Paul Verhoeven,28,5.5,41499
Holy Girl,29-Apr-05,R,,Fine Line,Original Screenplay,Drama,,,,,
Home Fries,25-Nov-98,PG-13,,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,,31,4.7,4806
Honey,5-Dec-03,PG-13,94,Universal,Original Screenplay,Drama,Contemporary Fiction,Bille Woodruff,20,4.6,13026
The Honeymooners,10-Jun-05,PG-13,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,John Schultz,14,2.6,5012
Hoot,5-May-06,PG,,New Line,Based on Book/Short Story,Comedy,Contemporary Fiction,,26,5.3,2830
Hope Floats,29-May-98,PG-13,114,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Forest Whitaker,23,5.3,9168
Horton Hears a Who,14-Mar-08,G,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,,7.2,31323
Hostel: Part II,8-Jun-07,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,45,5.4,31511
Hostage,11-Mar-05,R,,Miramax,Based on Book/Short Story,Action,Contemporary Fiction,,,7.3,3070
Hostel,6-Jan-06,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Eli Roth,,5.7,64642
Hot Rod,3-Aug-07,PG-13,83,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,40,6.5,22250
The Hours,27-Dec-02,PG-13,115,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Daldry,80,7.6,44618
Life as a House,26-Oct-01,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,,46,7.5,19308
Bringing Down the House,7-Mar-03,PG-13,105,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam Shankman,34,5.4,16242
House of Wax,6-May-05,R,,Warner Bros.,Remake,Horror,Contemporary Fiction,,25,5.4,32159
How to Deal,18-Jul-03,PG-13,,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,,29,5.4,5292
How High,21-Dec-01,R,93,Universal,Original Screenplay,Comedy,Contemporary Fiction,,27,5.5,14470
Def Jam's How To Be a Player,6-Aug-97,R,93,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,,,,
Harry Potter and the Chamber of Secrets,15-Nov-02,PG,161,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,82,7.2,120063
Harry Potter and the Prisoner of Azkaban,4-Jun-04,PG,141,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Alfonso Cuaron,90,7.7,108928
Harry Potter and the Goblet of Fire,18-Nov-05,PG-13,157,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6,111946
Harry Potter and the Order of the Phoenix,11-Jul-07,PG-13,138,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074
Harry Potter and the Half-Blood Prince,15-Jul-09,PG,153,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,83,7.3,73720
Harry Potter and the Sorcerer's Stone,16-Nov-01,PG,152,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,,7.2,132238
Happy Feet,17-Nov-06,PG,108,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369
Hercules,15-Jun-97,G,92,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,84,6.8,21902
Hardball,14-Sep-01,PG-13,106,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Brian Robbins,38,4.1,165
Hard Rain,16-Jan-98,R,96,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,,26,5.6,14375
The Horse Whisperer,15-May-98,PG-13,168,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,71,6.3,15831
The Heart of Me,13-Jun-03,R,,,,,,,,6.3,1342
Casa de Areia,11-Aug-06,R,,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,,,7.5,1519
Sorority Row,11-Sep-09,R,,Summit Entertainment,Remake,Horror,Contemporary Fiction,,22,5.1,7097
Hart's War,15-Feb-02,R,,MGM,Based on Book/Short Story,Drama,Historical Fiction,,58,6.2,19541
The Hitchhiker's Guide to the Galaxy,29-Apr-05,PG,103,Walt Disney Pictures,Based on Book/Short Story,Comedy,Science Fiction,,60,6.6,61513
High Tension,10-Jun-05,R,,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,,,5.4,165
Hot Fuzz,20-Apr-07,R,121,Focus Features,Original Screenplay,Comedy,Contemporary Fiction,Edgar Wright,91,8,129779
Human Traffic,5-May-00,R,,Miramax,,,,,,6.6,9455
How to Train Your Dragon,26-Mar-10,PG,,Paramount Pictures,Based on Book/Short Story,Comedy,Fantasy,,98,8.2,28556
I Heart Huckabees,1-Oct-04,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,62,6.8,35878
Hulk,20-Jun-03,PG-13,138,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Ang Lee,62,5.7,70844
The Incredible Hulk,13-Jun-08,PG-13,112,Universal,Based on Comic/Graphic Novel,Adventure,Super Hero,Louis Leterrier,66,7.1,82419
The Hunchback of Notre Dame,21-Jun-96,G,86,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Gary Trousdale,73,6.5,19479
The Hunted,14-Mar-03,R,94,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,William Friedkin,31,5.8,18941
Hurricane Streets,13-Feb-98,,,MGM,,Drama,,,,,
The Hurt Locker,26-Jun-09,R,,Summit Entertainment,Original Screenplay,Drama,Contemporary Fiction,Kathryn Bigelow,,7.8,83679
Hustle & Flow,22-Jul-05,R,,Paramount Vantage,Original Screenplay,Drama,Contemporary Fiction,,,7.5,18688
Starsky & Hutch,5-Mar-04,PG-13,101,Warner Bros.,Based on TV,Comedy,Historical Fiction,Todd Phillips,64,6.2,48935
Hollywood Ending,3-May-02,PG-13,,Dreamworks SKG,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,46,6.3,10486
Hollywood Homicide,13-Jun-03,PG-13,116,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,Ron Shelton,30,5.2,16452
Whatever it Takes,24-Mar-00,PG-13,,Sony Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,16,5.2,4192
Ice Age: The Meltdown,31-Mar-06,PG,,20th Century Fox,Original Screenplay,Adventure,Fantasy,Carlos Saldanha,,6.9,50981
Ice Age: Dawn of the Dinosaurs,1-Jul-09,PG,93,20th Century Fox,Original Screenplay,Adventure,Fantasy,Carlos Saldanha,,7.1,33289
Ice Age,15-Mar-02,PG,81,20th Century Fox,Original Screenplay,Adventure,Kids Fiction,Chris Wedge,77,7.4,75552
Ice Princess,18-Mar-05,G,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,52,6,7106
The Ice Storm,27-Sep-97,R,,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,82,7.5,27544
I Come with the Rain,,,,,,,,,,5.2,618
Identity,25-Apr-03,R,90,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,James Mangold,62,7.3,57909
An Ideal Husband,18-Jun-99,PG-13,97,Miramax,Based on Play,Comedy,Historical Fiction,,86,6.7,8078
Idlewild,25-Aug-06,R,121,Universal,Original Screenplay,Musical,Historical Fiction,,47,5.8,3056
Igby Goes Down,13-Sep-02,R,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,76,7,19050
Igor,19-Sep-08,PG,86,MGM,Original Screenplay,Comedy,Kids Fiction,,35,6,6614
I Got the Hook-Up!,27-May-98,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,17,3.3,985
Idle Hands,30-Apr-99,R,,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,15,5.8,16157
Imaginary Heroes,17-Dec-04,R,,Sony Pictures Classics,Original Screenplay,Drama,,,35,7.2,6057
I Still Know What You Did Last Summer,13-Nov-98,R,101,Sony Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,8,4.1,23268
I Know What You Did Last Summer,17-Oct-97,R,101,Sony Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,36,5.4,36807
"I Love You, Beth Cooper",10-Jul-09,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Chris Columbus,,5.9,179
The Illusionist,18-Aug-06,PG-13,110,Yari Film Group Releasing,Based on Book/Short Story,Drama,Historical Fiction,,74,7.7,92040
But I'm a Cheerleader,7-Jul-00,R,,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,,6.1,10073
The Imaginarium of Doctor Parnassus,25-Dec-09,PG-13,122,Sony Pictures Classics,Original Screenplay,Adventure,Fantasy,Terry Gilliam,64,7.1,33374
Imagine Me & You,27-Jan-06,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6.7,9534
Imagine That,12-Jun-09,PG,107,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Karey Kirkpatrick,38,5.4,3092
Impostor,4-Jan-02,PG-13,,Miramax,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,,6,9020
Inception,16-Jul-10,PG-13,147,Warner Bros.,Original Screenplay,Thriller/Suspense,Science Fiction,Christopher Nolan,87,9.1,188247
In the Cut,22-Oct-03,R,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jane Campion,34,5.2,11590
In Too Deep,25-Aug-99,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,,36,5.5,2529
IndigÃnes,15-Dec-06,Not Rated,,Weinstein Co.,Original Screenplay,Drama,Historical Fiction,,,7.2,5775
Indiana Jones and the Kingdom of the Crystal Skull,22-May-08,PG-13,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,77,6.6,135071
In Dreams,15-Jan-99,R,,Dreamworks SKG,Based on Book/Short Story,Horror,Contemporary Fiction,Neil Jordan,22,5.3,7138
Infamous,13-Oct-06,R,118,Warner Independent,Based on Book/Short Story,Drama,Dramatization,,72,7.1,6917
The Informant,18-Sep-09,R,108,Warner Bros.,Based on Factual Book/Article,Thriller/Suspense,Contemporary Fiction,Steven Soderbergh,,6.2,380
The Informers,24-Apr-09,R,,Senator Entertainment,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,,,5.2,7595
Inkheart,23-Jan-09,PG,105,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Iain Softley,40,6.1,14157
In & Out,19-Sep-97,PG-13,92,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,71,6.1,18773
I Now Pronounce You Chuck and Larry,20-Jul-07,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1,46347
Inside Man,24-Mar-06,R,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Spike Lee,86,7.7,86229
The Insider,5-Nov-99,R,157,Walt Disney Pictures,Based on Book/Short Story,Drama,Dramatization,Michael Mann,96,8,68747
Insomnia,24-May-02,R,118,Warner Bros.,Remake,Thriller/Suspense,Contemporary Fiction,Christopher Nolan,92,6.3,33
Inspector Gadget,23-Jul-99,PG,77,Walt Disney Pictures,Based on TV,Comedy,Kids Fiction,,21,3.9,13881
Instinct,4-Jun-99,R,123,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,27,6.2,15388
The Invention of Lying,2-Oct-09,PG-13,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Ricky Gervais,57,6.5,24578
The Invasion,17-Aug-07,PG-13,99,Warner Bros.,Remake,Thriller/Suspense,Science Fiction,,19,6,28605
Ira and Abby,14-Sep-07,R,,Magnolia Pictures,Original Screenplay,Comedy,Contemporary Fiction,,,6.3,855
"I, Robot",16-Jul-04,PG-13,115,20th Century Fox,Based on Book/Short Story,Action,Science Fiction,Alex Proyas,58,,
Iron Man 2,7-May-10,PG-13,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Jon Favreau,74,7.3,61256
Iron Man,2-May-08,PG-13,126,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Jon Favreau,94,7.9,174040
The Iron Giant,4-Aug-99,PG,86,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,Brad Bird,97,7.9,38791
Obsluhoval jsem anglickÃho krÂ·le,29-Aug-08,R,,Sony Pictures Classics,Based on Book/Short Story,Black Comedy,Historical Fiction,,,7.4,3048
The Island,22-Jul-05,PG-13,,Dreamworks SKG,Original Screenplay,Action,Science Fiction,Michael Bay,40,6.9,82601
Isn't She Great,28-Jan-00,R,,Universal,Based on Magazine Article,Comedy,Contemporary Fiction,Andrew Bergman,25,4.9,1426
I Spy,1-Nov-02,PG-13,97,Sony Pictures,Based on TV,Action,Contemporary Fiction,Betty Thomas,15,5.3,18061
The Italian Job,30-May-03,PG-13,111,Paramount Pictures,Remake,Adventure,Contemporary Fiction,F. Gary Gray,73,6.9,76835
I Think I Love My Wife,16-Mar-07,R,94,Fox Searchlight,Remake,Romantic Comedy,Contemporary Fiction,Chris Rock,19,5.5,8643
Jack Frost,11-Dec-98,PG,95,Warner Bros.,Original Screenplay,Comedy,Fantasy,,15,4.6,6932
Jackie Brown,25-Dec-97,R,154,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Quentin Tarantino,85,7.6,84068
The Jackal,14-Nov-97,R,124,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,12,6,35540
The Jacket,4-Mar-05,R,,Warner Independent,Original Screenplay,Thriller/Suspense,Fantasy,,43,7.1,35932
Jakob the Liar,24-Sep-99,PG-13,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,30,6.1,6636
Jarhead,4-Nov-05,R,115,Universal,Based on Book/Short Story,Drama,Dramatization,Sam Mendes,61,7.2,60650
Jawbreaker,19-Feb-99,R,,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,7,4.8,9329
The World is Not Enough,19-Nov-99,PG-13,125,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Michael Apted,51,6.3,59406
Die Another Day,22-Nov-02,PG-13,133,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Lee Tamahori,59,6,67476
Casino Royale,17-Nov-06,PG-13,144,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8,172936
Quantum of Solace,14-Nov-08,PG-13,,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Marc Forster,64,6.8,93596
Jennifer's Body,18-Sep-09,R,,20th Century Fox,Original Screenplay,Thriller/Suspense,Fantasy,,42,5.3,24265
Jackass: Number Two,22-Sep-06,R,,Paramount Pictures,Based on TV,Comedy,Factual,,63,7.2,24434
Jackass: The Movie,25-Oct-02,R,92,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,,6.3,27454
Journey to the Center of the Earth,11-Jul-08,PG,92,Warner Bros.,Based on Book/Short Story,Adventure,Science Fiction,,,5.9,23756
Joe Dirt,11-Apr-01,PG-13,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Dennie Gordon,11,5.4,18666
The Curse of the Jade Scorpion,24-Aug-01,PG-13,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,45,6.7,15897
Jeepers Creepers,31-Aug-01,R,91,MGM,Original Screenplay,Horror,Contemporary Fiction,,45,5.7,30610
Johnny English,18-Jul-03,PG,87,Universal,Original Screenplay,Comedy,Contemporary Fiction,,33,5.8,29246
Jeepers Creepers II,29-Aug-03,R,104,MGM,Original Screenplay,Horror,Fantasy,,,5.3,15975
The Assassination of Jesse James by the Coward Robert Ford,21-Sep-07,R,160,Warner Bros.,Based on Book/Short Story,Western,Dramatization,,75,7.7,57465
Johnson Family Vacation,7-Apr-04,PG-13,97,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,6,3.8,3278
Jersey Girl,26-Mar-04,PG-13,102,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,40,6.2,27370
The Jimmy Show,13-Dec-02,R,,,,,,,40,5.1,358
Jindabyne,27-Apr-07,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.4,3920
Jackpot,27-Jul-01,R,,,,Drama,,Michael Polish,29,5.7,408
Just Like Heaven,16-Sep-05,PG-13,,Dreamworks SKG,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Mark Waters,57,6.8,29457
Just My Luck,12-May-06,PG-13,,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Donald Petrie,13,5,13368
The Messenger: The Story of Joan of Arc,12-Nov-99,R,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Luc Besson,31,,
The Jungle Book 2,14-Feb-03,G,72,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,19,5.2,2740
Joe Somebody,21-Dec-01,PG,98,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,John Pasquin,19,5.3,5313
Jonah Hex,18-Jun-10,PG-13,81,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,,13,4.3,2316
John Q,15-Feb-02,PG-13,116,New Line,Original Screenplay,Drama,Contemporary Fiction,Nick Cassavetes,22,6.6,32338
Jonah: A VeggieTales Movie,4-Oct-02,G,82,Artisan,Based on Short Film,Adventure,Kids Fiction,,,6.3,1704
The Joneses,16-Apr-10,R,,Roadside Attractions,,,,,,6.6,4345
Josie and the Pussycats,11-Apr-01,PG-13,,Universal,Based on TV,Comedy,Contemporary Fiction,,53,5.1,11284
Joy Ride,5-Oct-01,R,97,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,John Dahl,,5.4,118
Jerry Maguire,13-Dec-96,R,138,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Cameron Crowe,84,7.2,78603
Jay and Silent Bob Strike Back,24-Aug-01,R,104,Miramax/Dimension,Spin-Off,Comedy,Contemporary Fiction,Kevin Smith,53,6.8,62692
Jesus' Son,16-Jun-00,R,,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.7,4620
Being Julia,15-Oct-04,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,,76,7.1,7067
Julie & Julia,7-Aug-09,PG-13,,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Nora Ephron,75,7.2,22269
Jumper,14-Feb-08,PG-13,,20th Century Fox,Based on Book/Short Story,Adventure,Science Fiction,Doug Liman,17,5.9,69161
Junebug,3-Aug-05,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,86,7.1,11457
Juno,5-Dec-07,PG-13,95,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93,7.9,149855
Jurassic Park 3,18-Jul-01,PG-13,92,Universal,Based on Book/Short Story,Action,Science Fiction,Joe Johnston,,7.9,151365
Just Looking,13-Oct-00,R,,,,,,Jason Alexander,,6.3,949
Just Married,10-Jan-03,PG-13,95,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Shawn Levy,20,5.1,19508
Juwanna Man,21-Jun-02,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,4.1,3062
Freddy vs. Jason,15-Aug-03,R,97,New Line,Spin-Off,Horror,Contemporary Fiction,Ronny Yu,41,5.8,39182
K-19: The Widowmaker,19-Jul-02,PG-13,138,Paramount Pictures,Based on Book/Short Story,Action,Dramatization,Kathryn Bigelow,61,6.5,22288
Kate and Leopold,25-Dec-01,PG-13,118,Miramax,Original Screenplay,Romantic Comedy,Fantasy,James Mangold,,6.2,23600
Kama Sutra,28-Feb-97,R,,Trimark,Original Screenplay,Drama,Historical Fiction,Mira Nair,,,
Kangaroo Jack,17-Jan-03,PG,89,Warner Bros.,Original Screenplay,Comedy,Kids Fiction,,,4.1,9994
Kick-Ass,16-Apr-10,R,,Lionsgate,Based on Comic/Graphic Novel,Action,Contemporary Fiction,Matthew Vaughn,75,8.1,86990
The Original Kings of Comedy,18-Aug-00,R,116,Paramount Pictures,Based on Real Life Events,Concert/Performance,Factual,Spike Lee,86,6.2,3258
Kiss of the Dragon,6-Jul-01,R,98,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Chris Nahon,51,6.3,22087
Kung Fu Hustle,8-Apr-05,R,,Sony Pictures Classics,Original Screenplay,Action,Historical Fiction,Stephen Chow,89,,
The Karate Kid,11-Jun-10,PG,140,Sony Pictures,Remake,Adventure,Contemporary Fiction,,67,6.1,20039
The Kentucky Fried Movie,10-Aug-77,,,United Film Distribution Co.,Original Screenplay,Comedy,,John Landis,77,6.4,8342
Kicking and Screaming,13-May-05,PG,90,Universal,Original Screenplay,Comedy,Contemporary Fiction,,,6.9,3841
Kill Bill: Volume 2,16-Apr-04,R,136,Miramax,Original Screenplay,Action,Contemporary Fiction,Quentin Tarantino,,8,182834
Kill Bill: Volume 1,10-Oct-03,R,111,Miramax,Original Screenplay,Action,Contemporary Fiction,Quentin Tarantino,85,8.2,231761
Kingdom Come,11-Apr-01,PG,94,Fox Searchlight,Based on Play,Comedy,Contemporary Fiction,,28,,
Kingdom of Heaven,6-May-05,R,,20th Century Fox,Original Screenplay,Adventure,Historical Fiction,Ridley Scott,39,7.1,83189
Kinsey,12-Nov-04,R,,Fox Searchlight,Based on Real Life Events,Drama,Dramatization,Bill Condon,90,7.2,20135
Kissing Jessica Stein,13-Mar-02,R,,Fox Searchlight,Based on Play,Romantic Comedy,Contemporary Fiction,,,6.8,8291
Kiss the Girls,3-Oct-97,R,120,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,32,6.4,20932
